City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,shanhaiguan,39.9988,119.7564,80.26,56,94,6.4,CN,1720310297
261,markovo,57.3206,107.0881,71.28,45,65,2.66,RU,1720310298
262,colonia,50.9333,6.95,57.94,66,0,8.05,DE,1720310300
263,juan griego,11.0817,-63.9655,93.33,59,37,16.11,VE,1720310301
264,udachny,66.4167,112.4,63.07,84,100,9.08,RU,1720310302
265,camabatela,-8.1881,15.375,54.45,59,3,2.3,AO,1720310303
266,mount gambier,-37.8333,140.7667,46.36,69,0,8.41,AU,1720310304
267,placido de castro,-10.3353,-67.1856,75.6,84,99,2.06,BR,1720310305
268,kununurra,-15.7667,128.7333,66.18,59,71,3.44,AU,1720310307
269,vrangel',42.7297,133.0839,63.18,98,96,5.5,RU,1720310308
270,dokkum,53.3222,5.997,56.98,85,75,10.36,NL,1720310309
271,konosha,60.9736,40.257,49.84,85,6,4.85,RU,1720310310
272,faya-largeau,17.9257,19.1043,90.99,18,4,7.14,TD,1720310311
273,las tablas,7.7667,-80.2833,80.38,85,66,2.75,PA,1720310313
274,banjar,-8.19,114.9675,77.95,80,43,5.61,ID,1720310314
275,naberezhnyye chelny,55.7561,52.4289,70.68,97,50,8.48,RU,1720310315
276,coquimbo,-29.9533,-71.3436,51.53,87,100,4.61,CL,1720310316
277,bodaybo,57.8506,114.1933,68.22,57,29,2.37,RU,1720310317
278,malacatan,14.9,-92.05,80.08,98,95,4.05,GT,1720310319
279,yorkton,51.2167,-102.4677,64.24,68,100,14.97,CA,1720310312
280,nar'yan-mar,67.6713,53.087,66.72,89,100,11.52,RU,1720310321
281,huehuetenango,15.3197,-91.4708,65.01,94,40,0.0,GT,1720310322
282,kota belud,6.351,116.4305,79.52,84,62,2.33,MY,1720310323
283,carauari,-4.8828,-66.8958,78.35,77,24,2.35,BR,1720310325
284,saldanha,-33.0117,17.9442,57.25,87,83,27.58,ZA,1720310326
285,muisne,0.6,-80.0333,77.68,88,63,6.8,EC,1720310327
286,chichiriviche,10.9333,-68.2772,81.77,79,60,12.37,VE,1720310328
287,raja,8.4596,25.678,72.9,82,100,4.72,SS,1720310329
288,kachug,53.9606,105.8817,69.96,89,97,1.14,RU,1720310330
289,kerbakhiar,40.1067,46.0383,52.61,79,75,4.9,AZ,1720310332
290,forster,-32.1667,152.5167,59.29,83,79,9.1,AU,1720310333
291,sinabang,2.4803,96.3801,78.12,87,100,5.1,ID,1720310334
292,dame-marie,18.5667,-74.4167,81.93,75,100,3.36,HT,1720310335
293,chitungwiza,-18.0127,31.0756,51.46,22,0,5.79,ZW,1720310337
294,porlamar,10.958,-63.8491,93.29,59,37,16.11,VE,1720310338
295,harper,4.375,-7.7169,76.84,83,98,11.59,LR,1720310339
296,cacheu,12.2706,-16.1658,80.69,81,100,8.61,GW,1720310340
297,afaahiti,-17.75,-149.2833,82.27,80,65,19.86,PF,1720310342
298,don sak,9.3168,99.6918,82.29,83,97,8.48,TH,1720310344
299,iskateley,67.6803,53.1512,66.87,89,98,11.45,RU,1720310345
300,changling,44.2653,124.0005,74.84,79,100,11.95,CN,1720310347
301,tianpeng,30.9866,103.9393,77.47,93,100,5.28,CN,1720310348
302,weno,7.4515,151.8468,82.99,76,61,15.68,FM,1720310350
303,georgetown,5.4112,100.3354,80.53,83,20,3.44,MY,1720310351
304,actopan,20.2667,-98.9333,70.56,57,10,12.68,MX,1720310194
305,lebu,-37.6167,-73.65,46.89,83,5,10.63,CL,1720310353
306,san carlos de bariloche,-41.1456,-71.3082,33.55,75,20,6.91,AR,1720310354
307,nguru,12.8791,10.4526,81.45,63,92,15.21,NG,1720310355
308,moranbah,-22.0016,148.0466,60.87,82,99,18.77,AU,1720310357
309,urengoy,65.9667,78.3667,50.23,70,21,16.67,RU,1720310358
310,palanga,55.9175,21.0686,71.62,53,20,16.11,LT,1720310359
311,quechultenango,17.4167,-99.2167,77.74,81,35,4.88,MX,1720310360
312,arno,60.1167,18.6333,55.78,96,100,13.96,SE,1720310363
313,talnakh,69.4865,88.3972,52.9,77,53,6.4,RU,1720310364
314,hasaki,35.7333,140.8333,86.29,84,100,5.3,JP,1720310365
